CODEBUCH,
,
Wert,Kommentar
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).
from,"definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, nur ein Wort"
to ,"definiert den Empfänger in ungerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, etc. "
relation,"Ausprägung der Kantenstärke (Beziehungsstärke), definiert nach vorgegeben Skalen."
,1 = Athlet → Verein
,2 = Athlet → Nation
,3 = Trainer → Nation
,4 = Trainer→ Athlet
,5 = Verein -->  Nation (über Athleten verbunden)
,6 = Trainer → Verein (falls frühere Karriere relevant)
,7= Athlet --> Event
,8 = Trainer --> Event
,
weight,Anzahl Erfolge 
,1= 1. Platz
,2= 2. Platz
,3= 3. Platz
,4= kein Podium
event,Art des Wettbewerbs
,wc= Weltcup
,vst= Vierschanzentournee
,oly= Olympische Winterspiele
year,Jahr der Teilnahme an Wettbewerb
,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.
id,"eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird.  "
name,Name oder Bezeichnung des Knotens. 
type,Unterscheidung der Akteure/Organisationen
,1 = Athlet
,2 = Trainer
,3 = Verein
,4 = Nation
,5= Event
country,Staatsangehörigkeit/für welchen Land tritt Athlet an (nur für Athleten/Trainer) (z.B NOR für Norwegen)
team,aus welchem Verein kommt Athlet/Trainer
debut_year,"Jahr, in welchem Athlet angefangen hat"
last_year,"Jahr, in welchem Athlet aufgehört hat"
active,zeigt ob Athlet/Trainer gerade aktiv springt
year_birth,Geburtsjahr der Athleten/Trainer
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus.."
,
,
,
"Hinweis zu nicht berücksichtigten Fällen: 
- Pausen von Athleten bei Wettbewerben werden nicht berücksichtigt. Dokumentiert werden nur der Beginn und das Ende der Karriere.
- Disqualifikationen
- Nichtqualifikationen für Olympia
",